id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
2101-72_22511,"Tapete de Couro Médio 2,05 x 2,07 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,05 x 2,07 m Aprox. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/72.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-medio-205-x-207-m/,"Tapete Formato Bovino, Tapete Formato Bovino M","Imperial Tapetes e Interiores",629BRL,in stock,2101-72_22511,,"https://34.196.236.239/wp-content/uploads/2022/06/72-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,629BRL,new,published,,,,,,,
2101-71_22510,"Tapete de Couro Médio 2,12 x 2,01 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,12 x 2,01 m Aprox. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/71.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-medio-212-x-201-m/,"Tapete Formato Bovino, Tapete Formato Bovino M","Imperial Tapetes e Interiores",629BRL,in stock,2101-71_22510,,"https://34.196.236.239/wp-content/uploads/2022/06/71-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/71-3.jpg,https://34.196.236.239/wp-content/uploads/2022/06/71-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,629BRL,new,published,,,,,,,
2101-70_22509,"Tapete de Couro Médio 2,04 x 1,86 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,04 x 1,86 m Aprox. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/70.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-medio-204-x-186-m-copia/,"Tapete Formato Bovino, Tapete Formato Bovino M","Imperial Tapetes e Interiores",629BRL,in stock,2101-70_22509,,"https://34.196.236.239/wp-content/uploads/2022/06/70-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/70-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,629BRL,new,published,,,,,,,
2101-69_22508,"Tapete de Couro Médio 1,97 x 1,72 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           1,97 x 1,72 m Aprox. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/69.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-medio-197-x-172-m/,"Tapete Formato Bovino, Tapete Formato Bovino M","Imperial Tapetes e Interiores",629BRL,in stock,2101-69_22508,,"https://34.196.236.239/wp-content/uploads/2022/06/69-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/69-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/69-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,629BRL,new,published,,,,,,,
2101-68_22507,"Tapete de Couro Médio 2,03 x 1,71 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,03 x 1,71 m Aprox. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/68.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-medio-203-x-171-m/,"Tapete Formato Bovino, Tapete Formato Bovino M","Imperial Tapetes e Interiores",629BRL,in stock,2101-68_22507,,"https://34.196.236.239/wp-content/uploads/2022/06/68-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/68-3.jpg,https://34.196.236.239/wp-content/uploads/2022/06/68-4.jpg,https://34.196.236.239/wp-content/uploads/2022/06/68-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,629BRL,new,published,,,,,,,
2101-67_22506,"Tapete de Couro Médio 2,12 x 1,84 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,12 x 1,84 m Aprox. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/67.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-medio-212-x-184-m/,"Tapete Formato Bovino, Tapete Formato Bovino M","Imperial Tapetes e Interiores",629BRL,in stock,2101-67_22506,,"https://34.196.236.239/wp-content/uploads/2022/06/67-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/67-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/67-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,629BRL,new,published,,,,,,,
2401-53_22394,"Tapete de Couro Grande 2,50 x 2,09 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,50 x 2,09 m Apróx. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/2401-53.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-grande-250-x-209-m/,"Tapete Formato Bovino, Tapete Formato Bovino GG","Imperial Tapetes e Interiores",829BRL,in stock,2401-53_22394,,"https://34.196.236.239/wp-content/uploads/2022/06/2401-53-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-53-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-53-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,829BRL,new,published,,,,,,,
2401-51_22393,"Tapete de Couro Grande 2,34 x 2,22 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,34 x 2,22 m Apróx. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/2401-51-4.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-grande-234-x-222-m/,"Tapete Formato Bovino, Tapete Formato Bovino GG","Imperial Tapetes e Interiores",829BRL,in stock,2401-51_22393,,"https://34.196.236.239/wp-content/uploads/2022/06/2401-51-1-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-51-2-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-51-3-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,829BRL,new,published,,,,,,,
2401-52_22392,"Tapete de Couro Grande 2,28 x 2,23 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,28 x 2,23 m Apróx. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/2401-52.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-grande-228-x-223-m/,"Tapete Formato Bovino, Tapete Formato Bovino GG","Imperial Tapetes e Interiores",829BRL,in stock,2401-52_22392,,"https://34.196.236.239/wp-content/uploads/2022/06/2401-52-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-52-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-52-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,829BRL,new,published,,,,,,,
2401-49_22391,"Tapete de Couro Grande 2,50 x 2,10 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,50 x 2,10 m Apróx. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/2401-49.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-grande-250-x-210-m-2/,"Tapete Formato Bovino, Tapete Formato Bovino GG","Imperial Tapetes e Interiores",829BRL,in stock,2401-49_22391,,"https://34.196.236.239/wp-content/uploads/2022/06/2401-49-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-49-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-49-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,829BRL,new,published,,,,,,,
2401-50_22390,"Tapete de Couro Grande 2,50 x 2,14 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,50 x 2,14 m Apróx. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/2401-50.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-grande-250-x-214-m/,"Tapete Formato Bovino, Tapete Formato Bovino GG","Imperial Tapetes e Interiores",829BRL,in stock,2401-50_22390,,"https://34.196.236.239/wp-content/uploads/2022/06/2401-50-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-50-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-50-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,829BRL,new,published,,,,,,,
2401-48_22389,"Tapete de Couro Grande 2,50 x 2,10 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,50 x 2,10 m Apróx. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/2401-48.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-grande-250-x-210-m/,"Tapete Formato Bovino, Tapete Formato Bovino GG","Imperial Tapetes e Interiores",829BRL,in stock,2401-48_22389,,"https://34.196.236.239/wp-content/uploads/2022/06/2401-48-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-48-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-48-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,829BRL,new,published,,,,,,,
2401-47_22388,"Tapete de Couro Grande 2,38 x 2,05 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,38 x 2,05 m Apróx. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/2401-47.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-grande-238-x-205-m/,"Tapete Formato Bovino, Tapete Formato Bovino GG","Imperial Tapetes e Interiores",829BRL,in stock,2401-47_22388,,"https://34.196.236.239/wp-content/uploads/2022/06/2401-47-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-47-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-47-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,829BRL,new,published,,,,,,,
2401-46_22387,"Tapete de Couro Grande 2,43 x 2,23 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,43 x 2,23 m Apróx. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/2401-46.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-grande-243-x-223-m/,"Tapete Formato Bovino, Tapete Formato Bovino GG","Imperial Tapetes e Interiores",829BRL,in stock,2401-46_22387,,"https://34.196.236.239/wp-content/uploads/2022/06/2401-46-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-46-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-46-4.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-46-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,829BRL,new,published,,,,,,,
2401-45_22386,"Tapete de Couro Grande 2,24 x 1,99 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,24 x 1,99 m Apróx. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/2401-45.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-grande-224-x-199-m/,"Tapete Formato Bovino, Tapete Formato Bovino GG","Imperial Tapetes e Interiores",829BRL,in stock,2401-45_22386,,"https://34.196.236.239/wp-content/uploads/2022/06/2401-45-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-45-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-45-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,829BRL,new,published,,,,,,,
2401-44_22385,"Tapete de Couro Grande 2,35 x 1,98 m","DETALHES 
 
 
 
Material:              Couro Natural 
Tamanho:           2,35 x 1,98 m Apróx. 
Uso primário:    Como tapete e aplicações de decoração. 
 
ESPECIFICAÇÕES 
 
ARTESANATO 
 
 
 
Começamos com uma seleção das melhores peles bovinas dos Pampas do Brasil. Nossos tapetes nunca são colados a qualquer material de apoio, o verso é o couro natural, que adere perfeitamente ao chão. Devido à qualidade e às características naturais do couro bovino Imperial, nossos tapetes de couro bovino são naturalmente repelentes de manchas e extremamente duráveis. 
USO E CUIDADO 
Devido à natureza do couro bovino, os tapetes de couro Imperial são altamente resistentes a manchas. Nossos tapetes são muito fáceis de limpar e manter. Remova a poeira aspirando em uma potencia baixa ou sacudindo o tapete para preservar as características naturais do material. As substâncias líquidas raramente penetram na pele. A maioria dos respingos flutua acima do pelo o tempo suficiente para ser facilmente limpa com um pano úmido com sabão neutro e água morna. Com um tráfego significativo de pedestres, algumas áreas podem ficar mais finas com o tempo, então é recomendável girar o tapete a cada poucos meses. 
 
Mais informações podem ser obtidas aqui.",https://34.196.236.239/wp-content/uploads/2022/06/2401-44.jpg,https://34.196.236.239/produtos/pronta-entrega/formatobovino/tapete-de-couro-grande-235-x-198-m/,"Tapete Formato Bovino, Tapete Formato Bovino GG","Imperial Tapetes e Interiores",829BRL,in stock,2401-44_22385,,"https://34.196.236.239/wp-content/uploads/2022/06/2401-44-1.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-44-2.jpg,https://34.196.236.239/wp-content/uploads/2022/06/2401-44-3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,829BRL,new,published,,,,,,,
